Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
26.4,74,4.9,4.1,partly cloudy,1008.85,8,Spring,0.7,mountain,Cloudy
15.5,40,12.4,16.4,overcast,1029.16,2,Autumn,8.0,inland,Sunny
39.1,60,7.9,43.9,partly cloudy,1015.37,1,Winter,1.2,coastal,Cloudy
33.3,87,15.0,72.5,overcast,995.05,2,Autumn,5.0,inland,Sunny
38.2,94,4.5,59.3,overcast,1017.05,8,Autumn,5.8,coastal,Cloudy
36.8,45,15.9,65.0,overcast,1003.0,6,Spring,6.5,coastal,Rainy
27.9,67,12.3,47.9,overcast,1017.45,8,Summer,7.0,mountain,Rainy
37.7,56,2.7,61.6,overcast,992.79,1,Summer,2.9,coastal,Sunny
12.7,44,8.6,32.9,overcast,997.0,4,Autumn,0.6,inland,Cloudy
15.9,70,17.3,47.0,overcast,1024.23,3,Autumn,7.4,inland,Cloudy
11.4,44,18.5,74.4,partly cloudy,999.09,1,Summer,5.6,inland,Sunny
19.8,77,9.6,87.2,clear,1023.48,8,Summer,8.4,coastal,Cloudy
21.7,42,9.9,43.4,clear,1001.17,8,Spring,8.3,inland,Sunny
18.1,92,18.4,4.4,partly cloudy,1015.72,5,Winter,8.5,coastal,Cloudy
34.9,62,11.9,16.2,partly cloudy,1017.77,10,Autumn,5.1,inland,Sunny
20.7,76,1.1,2.1,partly cloudy,1010.51,5,Summer,3.7,inland,Cloudy
18.4,92,18.3,65.3,partly cloudy,1002.21,7,Autumn,8.0,coastal,Sunny
26.3,76,5.3,33.2,overcast,998.51,5,Autumn,4.8,inland,Cloudy
14.2,49,11.8,54.2,clear,991.33,0,Summer,2.2,mountain,Rainy
34.1,49,3.7,49.3,overcast,1002.16,3,Spring,8.6,coastal,Cloudy
12.2,58,1.2,8.2,clear,1016.13,6,Autumn,8.9,coastal,Sunny
39.6,56,6.6,40.3,clear,1027.53,1,Spring,4.9,coastal,Rainy
33.2,60,15.7,22.1,partly cloudy,1024.85,8,Summer,1.2,mountain,Cloudy
16.0,53,5.9,41.8,overcast,1020.64,7,Winter,4.2,coastal,Rainy
10.2,48,4.8,20.4,partly cloudy,1021.54,7,Winter,8.1,inland,Cloudy
34.5,85,4.6,84.0,overcast,1016.6,6,Autumn,9.1,inland,Rainy
31.2,40,10.5,17.4,clear,1000.41,3,Summer,2.4,inland,Sunny
31.9,90,19.5,96.1,partly cloudy,1026.29,1,Spring,1.1,coastal,Cloudy
33.1,84,9.5,41.6,partly cloudy,1016.83,2,Autumn,8.8,inland,Cloudy
12.2,52,11.4,84.6,clear,1012.42,5,Summer,4.2,coastal,Sunny
20.8,43,17.3,62.9,clear,994.44,4,Summer,5.6,inland,Rainy
13.5,40,10.9,73.5,clear,1007.88,7,Spring,9.7,mountain,Sunny
35.9,88,4.1,76.8,partly cloudy,1008.41,5,Autumn,1.1,mountain,Sunny
28.7,79,6.3,50.5,overcast,1024.58,5,Summer,6.7,mountain,Rainy
19.9,71,6.5,54.3,partly cloudy,1011.87,0,Summer,1.2,mountain,Sunny
11.9,73,8.2,51.4,overcast,1005.22,3,Summer,4.1,coastal,Cloudy
19.3,67,8.8,58.8,partly cloudy,1029.07,4,Spring,8.1,inland,Cloudy
19.8,70,16.1,2.9,partly cloudy,994.43,10,Autumn,4.6,mountain,Cloudy
31.9,47,7.3,39.6,clear,1006.9,2,Autumn,10.0,coastal,Sunny
29.1,78,9.6,60.6,overcast,991.68,8,Autumn,5.8,mountain,Cloudy
36.6,65,12.7,59.8,partly cloudy,1019.6,0,Autumn,3.6,mountain,Cloudy
24.2,97,7.9,79.3,partly cloudy,1026.72,5,Winter,2.6,coastal,Cloudy
13.6,73,16.8,65.5,clear,1001.2,5,Winter,3.8,coastal,Cloudy
31.4,93,12.0,99.2,clear,1024.33,9,Autumn,4.0,inland,Cloudy
32.8,93,6.2,28.4,overcast,1001.69,4,Spring,1.2,inland,Cloudy
26.8,42,14.4,35.9,partly cloudy,1026.43,4,Winter,4.0,mountain,Sunny
33.1,98,10.8,38.4,overcast,1020.16,9,Summer,4.9,mountain,Cloudy
24.8,89,10.9,46.6,partly cloudy,1022.2,4,Winter,7.4,inland,Cloudy
25.7,51,9.9,83.6,overcast,990.72,5,Summer,6.7,inland,Rainy
22.8,40,10.2,23.6,clear,1028.51,7,Autumn,7.2,coastal,Sunny
10.8,93,15.4,77.6,partly cloudy,1019.07,1,Winter,0.6,inland,Sunny
13.2,83,2.5,40.5,overcast,1002.19,5,Spring,2.6,inland,Sunny
10.9,44,7.0,60.2,clear,1023.18,0,Winter,6.8,mountain,Sunny
29.1,69,2.0,63.3,clear,1001.26,3,Winter,5.1,inland,Cloudy
19.4,69,15.2,37.3,overcast,1024.91,9,Winter,0.6,mountain,Cloudy
25.3,98,5.8,51.3,partly cloudy,994.5,2,Autumn,8.1,inland,Rainy
37.2,96,18.0,41.3,partly cloudy,1018.15,8,Spring,7.8,coastal,Rainy
17.5,56,10.8,6.9,clear,1011.63,2,Winter,5.7,inland,Sunny
22.3,87,16.1,43.7,partly cloudy,993.86,5,Spring,1.1,inland,Rainy
32.7,86,19.6,9.7,partly cloudy,999.68,0,Autumn,7.8,inland,Rainy
16.9,62,16.9,40.5,partly cloudy,990.5,5,Summer,6.0,mountain,Sunny
12.3,54,17.4,59.3,clear,1008.75,3,Winter,7.9,coastal,Sunny
18.7,76,8.5,57.9,overcast,1002.05,7,Spring,7.6,inland,Rainy
14.8,60,11.3,66.3,partly cloudy,1013.93,10,Spring,8.1,mountain,Cloudy
37.9,53,5.5,9.5,clear,1001.89,8,Autumn,5.4,coastal,Rainy
34.2,41,4.3,65.2,clear,1002.0,3,Winter,1.8,mountain,Rainy
29.0,50,10.4,31.2,overcast,1019.73,9,Summer,6.9,mountain,Cloudy
36.1,90,12.1,39.9,partly cloudy,991.93,9,Spring,6.4,coastal,Cloudy
34.1,78,7.1,85.8,partly cloudy,1026.12,5,Winter,7.6,inland,Sunny
15.6,77,11.6,0.9,overcast,1024.09,0,Summer,2.1,mountain,Sunny
36.8,99,17.8,58.8,overcast,1016.71,3,Spring,2.4,mountain,Rainy
26.2,73,11.4,59.9,clear,1013.73,6,Spring,9.0,inland,Cloudy
34.2,77,14.6,39.7,clear,1025.69,0,Summer,7.6,inland,Sunny
36.9,89,16.2,23.7,overcast,997.41,7,Summer,9.1,coastal,Rainy
19.5,73,19.8,23.5,partly cloudy,993.16,9,Autumn,7.7,coastal,Cloudy
13.3,57,12.3,88.4,clear,999.58,10,Winter,6.2,coastal,Rainy
16.8,69,16.2,44.2,clear,1021.78,5,Winter,6.7,inland,Sunny
22.8,54,19.3,33.1,partly cloudy,991.39,4,Autumn,8.9,mountain,Sunny
34.5,66,18.9,44.9,clear,1013.31,9,Spring,6.0,mountain,Cloudy
35.8,90,3.3,66.9,partly cloudy,1029.82,10,Summer,6.5,coastal,Rainy
10.2,73,8.4,14.6,partly cloudy,1024.23,8,Summer,2.0,inland,Cloudy
25.3,91,6.8,44.9,partly cloudy,1010.86,1,Summer,5.0,mountain,Sunny
22.5,96,2.2,58.8,overcast,992.55,4,Spring,7.3,coastal,Sunny
16.7,77,12.8,94.9,overcast,1023.25,5,Summer,3.1,mountain,Rainy
13.6,72,14.9,25.3,overcast,1013.96,6,Summer,2.4,mountain,Rainy
20.1,63,17.0,35.9,partly cloudy,994.6,4,Autumn,3.5,inland,Rainy
38.3,54,2.9,37.9,partly cloudy,993.75,8,Spring,2.8,inland,Cloudy
19.7,99,17.6,60.6,overcast,1026.39,0,Winter,2.5,mountain,Rainy
25.6,69,13.0,35.7,clear,1016.77,6,Autumn,4.5,coastal,Rainy
31.1,94,14.2,53.4,partly cloudy,1023.17,9,Autumn,9.1,inland,Sunny
20.9,81,18.3,78.2,clear,1025.16,6,Winter,5.3,mountain,Sunny
39.2,90,12.7,70.5,clear,1012.87,3,Autumn,2.3,inland,Rainy
38.9,56,7.0,44.6,partly cloudy,1010.7,8,Spring,1.2,inland,Rainy
17.6,44,16.6,86.4,partly cloudy,1007.22,10,Summer,7.1,inland,Sunny
24.9,68,7.6,55.8,clear,1002.68,4,Spring,4.1,mountain,Rainy
19.0,43,1.2,54.0,clear,1007.38,3,Winter,8.3,coastal,Cloudy
18.5,49,16.7,3.4,overcast,1020.96,6,Winter,6.8,coastal,Cloudy
11.1,95,7.2,98.7,overcast,1014.08,3,Autumn,8.1,coastal,Cloudy
28.3,56,15.6,12.3,partly cloudy,1025.7,2,Spring,3.1,inland,Rainy
25.1,49,7.6,23.1,overcast,1007.74,8,Spring,7.1,mountain,Sunny
11.5,56,17.3,5.2,overcast,1014.28,10,Winter,3.0,inland,Rainy
18.4,99,4.8,64.0,overcast,1015.25,7,Spring,9.4,coastal,Rainy
37.2,59,19.5,22.5,overcast,1013.67,0,Winter,6.5,coastal,Sunny
17.2,63,15.7,18.0,clear,1018.11,6,Spring,3.6,mountain,Sunny
14.3,44,2.7,8.9,partly cloudy,999.5,8,Spring,3.1,inland,Sunny
24.7,73,11.5,10.3,overcast,1010.49,7,Spring,2.3,coastal,Cloudy
39.6,45,19.7,58.5,clear,994.17,7,Winter,7.1,mountain,Rainy
17.3,92,9.7,68.8,clear,1005.38,5,Autumn,2.6,inland,Sunny
30.2,41,4.1,39.7,clear,1009.51,10,Spring,6.2,inland,Rainy
32.8,52,10.0,48.0,overcast,1016.09,3,Winter,3.0,coastal,Cloudy
17.1,82,10.5,68.6,overcast,1028.02,7,Winter,6.8,coastal,Cloudy
31.8,82,15.0,1.7,partly cloudy,1014.03,2,Spring,8.2,inland,Sunny
21.0,87,14.1,32.3,overcast,1019.74,8,Spring,7.9,inland,Sunny
29.0,50,8.3,97.3,overcast,1010.25,1,Autumn,7.7,coastal,Rainy
29.0,90,4.8,58.0,clear,1015.36,1,Winter,2.3,inland,Sunny
26.1,86,13.1,25.4,partly cloudy,992.84,6,Winter,1.3,coastal,Rainy
12.7,96,8.7,52.2,overcast,1000.18,9,Summer,7.1,inland,Sunny
35.1,62,3.1,34.3,overcast,1004.47,3,Winter,4.0,coastal,Rainy
19.6,94,18.1,53.2,clear,1008.9,9,Autumn,4.6,mountain,Rainy
15.6,55,14.0,12.6,clear,991.83,7,Summer,0.8,coastal,Rainy
11.2,70,13.8,13.3,overcast,995.6,8,Summer,3.0,coastal,Rainy
27.7,50,16.5,14.4,partly cloudy,1001.07,6,Summer,0.8,mountain,Cloudy
30.3,93,10.8,94.0,partly cloudy,1028.86,4,Spring,8.9,inland,Rainy
10.5,55,16.4,73.3,clear,1003.25,7,Spring,2.8,mountain,Sunny
25.4,47,10.2,16.2,clear,1009.28,3,Winter,5.8,coastal,Cloudy
16.8,43,1.8,18.8,overcast,997.84,1,Summer,0.9,inland,Cloudy
29.4,79,8.4,73.1,clear,1014.43,10,Autumn,6.8,mountain,Rainy
15.2,43,10.2,15.6,overcast,1001.23,5,Spring,3.6,inland,Cloudy
30.7,95,14.5,23.5,partly cloudy,998.28,8,Autumn,9.0,inland,Rainy
21.6,64,2.6,96.3,partly cloudy,1010.66,0,Autumn,8.9,mountain,Sunny
38.1,42,3.2,25.5,overcast,990.22,10,Spring,3.6,inland,Rainy
14.1,71,5.6,66.2,clear,990.31,9,Spring,9.1,mountain,Cloudy
20.2,42,5.7,97.9,partly cloudy,998.76,6,Spring,10.0,coastal,Sunny
13.4,66,14.8,37.4,clear,991.47,9,Spring,8.3,inland,Rainy
37.7,68,5.4,1.8,partly cloudy,994.32,8,Summer,8.5,coastal,Sunny
36.3,71,12.8,24.4,overcast,1003.55,9,Summer,2.9,coastal,Sunny
17.7,89,10.1,83.1,overcast,1022.1,8,Summer,6.0,inland,Cloudy
29.8,97,11.7,86.5,overcast,1012.88,9,Summer,1.1,mountain,Sunny
34.5,90,16.8,76.9,partly cloudy,1010.51,10,Winter,1.4,inland,Cloudy
26.7,58,8.4,11.3,clear,1001.74,2,Summer,10.0,coastal,Sunny
25.9,60,15.5,79.6,clear,1027.27,10,Spring,3.6,coastal,Rainy
17.3,44,8.7,91.9,clear,1005.88,4,Autumn,7.6,mountain,Sunny
12.8,57,7.4,60.1,partly cloudy,993.48,7,Summer,8.2,inland,Rainy
36.9,67,19.2,94.1,partly cloudy,1014.68,7,Winter,8.7,coastal,Rainy
37.0,81,4.1,82.7,partly cloudy,994.55,3,Spring,10.0,coastal,Sunny
29.0,61,2.3,66.7,partly cloudy,1003.81,10,Autumn,2.8,coastal,Rainy
20.2,60,15.5,57.7,partly cloudy,1010.3,10,Autumn,0.9,mountain,Sunny
20.5,45,1.8,34.9,clear,1024.97,0,Summer,4.4,coastal,Sunny
31.8,40,16.8,15.9,partly cloudy,1009.74,0,Autumn,1.7,coastal,Rainy
36.9,44,9.0,60.5,partly cloudy,1018.09,3,Summer,0.7,inland,Rainy
36.6,80,18.4,31.8,clear,1029.71,5,Summer,3.9,inland,Cloudy
33.4,51,14.6,86.6,partly cloudy,995.26,7,Spring,7.9,coastal,Rainy
29.3,65,12.4,99.3,clear,1000.99,5,Spring,5.9,coastal,Cloudy
12.5,85,19.0,75.2,clear,1005.78,8,Winter,3.5,inland,Rainy
14.8,73,8.2,9.0,overcast,1006.87,8,Spring,6.7,mountain,Sunny
37.0,88,19.1,28.9,overcast,1006.44,1,Spring,2.7,mountain,Rainy
28.2,53,3.1,10.9,overcast,1026.3,9,Summer,0.6,mountain,Sunny
10.3,65,9.9,65.1,overcast,1018.56,0,Spring,7.8,mountain,Sunny
13.0,84,5.8,76.5,partly cloudy,1014.32,1,Summer,6.4,mountain,Sunny
29.9,66,11.0,92.6,overcast,1002.37,4,Summer,7.7,mountain,Cloudy
10.2,48,3.7,43.8,clear,1022.95,3,Spring,0.9,mountain,Rainy
14.8,65,16.9,90.1,partly cloudy,1028.2,3,Winter,8.5,mountain,Sunny
26.5,96,17.0,87.8,overcast,1022.85,8,Winter,6.4,inland,Sunny
30.8,86,19.1,31.7,clear,990.06,10,Autumn,5.9,mountain,Cloudy
29.6,96,3.5,86.9,partly cloudy,1015.46,7,Autumn,6.4,mountain,Rainy
16.7,61,12.7,37.6,partly cloudy,992.05,5,Spring,8.7,mountain,Rainy
31.4,86,9.7,29.7,overcast,1000.3,0,Winter,6.1,coastal,Cloudy
17.1,95,7.2,64.9,partly cloudy,992.38,1,Summer,6.0,inland,Cloudy
19.8,69,7.4,32.8,clear,1014.15,5,Autumn,9.9,inland,Rainy
32.4,82,8.5,63.0,partly cloudy,1017.46,10,Summer,7.7,inland,Cloudy
29.5,87,14.2,61.0,clear,994.58,1,Autumn,4.7,mountain,Rainy
35.5,56,12.2,56.3,partly cloudy,1005.35,9,Spring,7.2,mountain,Rainy
29.7,65,9.5,38.0,overcast,1008.25,4,Winter,4.2,coastal,Sunny
27.0,75,2.0,54.8,clear,1004.76,4,Autumn,2.7,inland,Sunny
12.8,40,2.0,59.6,partly cloudy,994.84,5,Winter,6.2,mountain,Rainy
21.0,47,0.5,54.6,partly cloudy,1006.76,5,Summer,9.3,inland,Rainy
18.0,88,19.4,44.4,partly cloudy,1020.05,5,Spring,9.3,coastal,Rainy
17.3,74,0.6,1.5,clear,992.84,1,Winter,3.7,coastal,Rainy
39.2,91,2.5,58.7,clear,993.21,9,Spring,5.5,coastal,Rainy
21.8,54,6.6,16.8,clear,1004.19,2,Winter,2.5,inland,Rainy
36.8,86,16.2,64.3,overcast,1027.67,5,Summer,10.0,mountain,Cloudy
28.9,95,19.3,75.9,overcast,1016.74,7,Summer,9.8,mountain,Rainy
33.8,61,15.9,50.0,clear,1017.15,10,Spring,6.7,coastal,Cloudy
25.1,53,14.0,54.2,partly cloudy,1004.48,0,Summer,8.1,mountain,Cloudy
27.3,65,10.7,95.1,overcast,1013.75,0,Autumn,7.3,coastal,Rainy
24.8,67,2.2,84.7,clear,990.41,10,Winter,6.1,inland,Rainy
15.9,62,19.2,91.4,partly cloudy,1015.44,1,Summer,1.0,coastal,Cloudy
31.7,53,15.3,81.4,overcast,1026.53,10,Autumn,4.8,inland,Cloudy
18.4,63,13.0,10.9,partly cloudy,1014.5,5,Spring,6.9,coastal,Rainy
10.7,41,15.3,14.9,partly cloudy,1024.95,8,Autumn,6.9,mountain,Rainy
29.4,84,14.6,52.7,partly cloudy,1018.96,3,Spring,4.0,mountain,Cloudy
15.3,65,12.9,24.6,partly cloudy,994.82,2,Spring,9.4,coastal,Cloudy
38.2,53,19.6,47.7,overcast,1026.1,7,Winter,2.1,mountain,Cloudy
38.6,98,18.1,39.4,overcast,992.66,10,Winter,5.3,mountain,Sunny
37.4,95,13.1,54.9,overcast,1011.36,9,Autumn,7.1,mountain,Cloudy
21.1,90,14.0,74.7,clear,995.69,8,Winter,7.1,inland,Sunny
10.5,46,1.5,71.5,overcast,990.47,10,Winter,6.7,mountain,Rainy
37.8,42,13.6,52.1,partly cloudy,1006.88,4,Winter,3.1,inland,Rainy
22.8,86,1.4,82.2,overcast,1001.8,8,Autumn,2.0,coastal,Cloudy
39.0,62,12.0,43.1,partly cloudy,1009.44,1,Summer,6.5,mountain,Rainy
38.9,85,20.0,89.7,clear,1013.09,2,Winter,6.2,mountain,Rainy
35.6,82,11.3,7.1,partly cloudy,991.75,6,Winter,2.2,mountain,Rainy
18.8,86,9.7,95.5,partly cloudy,994.92,6,Autumn,7.2,coastal,Rainy
21.6,99,6.6,65.5,partly cloudy,1012.35,5,Summer,4.8,inland,Sunny
35.5,84,2.9,38.0,clear,1003.73,5,Winter,6.8,inland,Sunny
19.5,57,14.8,19.7,overcast,1019.17,1,Spring,8.5,mountain,Cloudy
15.1,97,4.3,47.9,overcast,1016.09,9,Autumn,2.1,coastal,Cloudy
26.7,77,2.7,19.5,clear,1023.82,5,Winter,0.7,coastal,Cloudy
38.1,74,8.7,16.6,partly cloudy,1017.7,3,Winter,7.9,coastal,Rainy
30.9,90,16.0,61.7,overcast,1007.2,2,Spring,6.3,coastal,Rainy
27.1,54,15.0,52.3,clear,1016.92,10,Spring,7.1,coastal,Sunny
12.9,64,1.6,67.0,overcast,1001.02,1,Autumn,8.5,inland,Sunny
28.5,94,9.4,93.0,clear,1002.25,0,Autumn,8.1,inland,Cloudy
39.7,76,10.7,53.2,partly cloudy,1021.56,10,Spring,9.6,inland,Sunny
14.2,67,13.1,58.1,overcast,1007.86,10,Autumn,5.6,mountain,Sunny
25.5,49,13.2,9.0,clear,1021.94,4,Spring,5.1,coastal,Sunny
36.3,78,7.6,71.8,overcast,1022.9,1,Winter,4.3,mountain,Sunny
32.2,96,11.4,40.0,overcast,1024.3,1,Spring,2.0,coastal,Sunny
30.9,56,9.9,97.7,overcast,1026.67,6,Spring,5.9,inland,Cloudy
31.1,78,17.8,82.3,overcast,1007.24,7,Summer,3.1,mountain,Cloudy
20.8,61,10.8,52.2,clear,1002.75,9,Spring,9.3,inland,Sunny
18.8,65,9.1,12.3,partly cloudy,1013.29,7,Spring,6.0,coastal,Cloudy
34.3,83,8.4,85.9,clear,1004.85,3,Summer,6.1,coastal,Rainy
34.3,64,11.7,80.0,clear,1014.04,0,Autumn,3.9,coastal,Sunny
36.0,56,16.2,18.5,clear,1018.22,10,Summer,1.0,inland,Rainy
37.4,52,11.0,29.5,partly cloudy,1017.54,6,Winter,0.8,coastal,Cloudy
25.3,59,13.4,79.3,overcast,1004.98,0,Summer,4.5,inland,Cloudy
25.0,64,14.9,18.5,overcast,996.67,10,Winter,1.3,mountain,Rainy
33.9,43,10.6,91.8,overcast,1007.22,3,Autumn,6.3,coastal,Cloudy
29.5,49,8.8,42.5,partly cloudy,995.7,7,Summer,8.9,coastal,Sunny
31.1,42,17.6,8.7,overcast,1025.6,1,Summer,8.9,coastal,Rainy
33.9,80,8.6,81.6,partly cloudy,1003.84,5,Autumn,6.8,mountain,Sunny
36.7,84,9.5,37.4,overcast,996.18,5,Winter,2.5,coastal,Rainy
20.1,57,19.8,52.6,overcast,991.02,8,Summer,8.7,inland,Cloudy
21.3,86,0.5,11.2,clear,1015.83,4,Winter,8.9,inland,Rainy
12.8,75,4.1,0.3,partly cloudy,1015.48,9,Summer,2.4,coastal,Rainy
27.3,86,8.0,63.8,clear,1003.62,3,Spring,7.5,coastal,Sunny
11.1,61,18.7,51.5,clear,992.87,4,Summer,3.2,mountain,Cloudy
24.0,73,1.9,59.4,clear,1006.39,9,Autumn,8.1,mountain,Sunny
26.3,86,0.7,79.4,partly cloudy,1002.45,10,Autumn,10.0,mountain,Cloudy
18.6,47,1.5,64.7,partly cloudy,1017.08,4,Winter,0.8,coastal,Sunny
27.7,79,2.2,17.5,overcast,1014.23,7,Summer,9.0,mountain,Rainy
10.9,88,1.2,36.1,clear,1004.58,9,Winter,6.4,mountain,Sunny
11.1,83,9.9,90.6,overcast,998.72,7,Winter,9.7,inland,Cloudy
34.7,58,11.8,77.0,clear,1029.52,1,Spring,4.9,mountain,Cloudy
20.8,81,5.8,55.7,partly cloudy,1008.16,6,Spring,8.6,inland,Rainy
13.8,80,8.3,25.6,partly cloudy,1017.53,7,Autumn,1.1,inland,Cloudy
25.7,76,2.3,30.2,partly cloudy,995.62,10,Winter,3.7,mountain,Sunny
33.1,45,7.1,73.2,clear,1009.42,5,Autumn,1.1,inland,Rainy
16.5,91,10.7,85.1,partly cloudy,991.1,4,Summer,9.8,coastal,Cloudy
28.7,65,14.8,67.1,clear,1010.22,10,Winter,8.3,coastal,Cloudy
12.6,73,0.6,81.0,overcast,1028.56,8,Winter,8.6,mountain,Sunny
11.6,98,9.6,76.7,clear,1005.37,2,Summer,9.4,coastal,Sunny
25.9,95,6.3,15.0,overcast,991.56,9,Summer,1.3,inland,Rainy
26.2,98,17.1,42.4,clear,991.24,3,Autumn,4.2,coastal,Cloudy
29.1,84,14.5,15.3,overcast,1005.52,8,Autumn,1.2,mountain,Sunny
31.8,45,12.0,23.5,partly cloudy,996.4,5,Summer,2.5,mountain,Rainy
39.3,76,5.9,86.9,overcast,990.93,7,Autumn,2.7,inland,Cloudy
25.5,96,18.3,47.3,partly cloudy,1020.25,6,Summer,5.0,mountain,Cloudy
19.7,72,1.4,53.5,partly cloudy,1008.34,10,Winter,3.1,coastal,Rainy
33.9,92,2.6,17.8,overcast,1001.57,1,Winter,1.5,mountain,Rainy
18.1,61,8.1,31.2,clear,1026.0,2,Spring,2.1,inland,Sunny
23.2,60,2.9,23.0,clear,994.65,0,Winter,1.9,mountain,Cloudy
12.4,45,19.2,20.6,clear,1028.24,8,Summer,9.7,coastal,Cloudy
10.8,45,16.1,63.8,clear,1002.56,6,Autumn,7.7,inland,Cloudy
38.9,94,5.6,25.7,clear,1025.54,0,Spring,9.7,coastal,Rainy
35.1,87,12.0,63.2,partly cloudy,1014.12,2,Autumn,4.7,inland,Sunny
30.9,43,19.7,5.8,clear,1023.07,3,Summer,3.1,mountain,Cloudy
22.3,69,17.7,14.2,partly cloudy,1029.36,3,Winter,8.1,inland,Rainy
15.2,50,12.2,27.5,partly cloudy,1001.54,4,Spring,3.6,inland,Cloudy
14.7,69,18.1,59.7,partly cloudy,1028.45,2,Summer,3.3,mountain,Sunny
17.5,70,19.8,67.6,overcast,1005.58,2,Spring,2.7,coastal,Cloudy
26.5,63,15.0,44.3,overcast,1005.42,0,Spring,1.7,mountain,Sunny
31.4,94,1.8,44.6,partly cloudy,1003.62,6,Winter,2.9,inland,Sunny
29.8,48,8.3,72.5,overcast,1011.66,10,Summer,3.9,mountain,Cloudy
18.4,94,16.8,1.6,clear,996.17,9,Autumn,6.9,inland,Cloudy
